titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
,5,,,,,[],200,2093
,5,,,,,[],200,2068
,5,,,,,[],200,2083
,5,,,,,[],200,2048
,5,,,,,[],200,2042
,5,,,,,[],200,2041
,5,,,,,[],200,2044
,5,,,,,[],200,2040
,5,,,,,[],200,2034
,5,,,,,[],200,2055
,5,,,,,[],200,2055
,5,,,,,[],200,2038
,5,,,,,[],200,2039
,5,,,,,[],200,2043
,5,,,,,[],200,2042
,5,,,,,[],200,2044
,5,,,,,[],200,2063
,5,,,,,[],200,2042
,5,,,,,[],200,2045
,5,,,,,[],200,2041
,5,,,,,[],200,2035
,5,,,,,[],200,2036
,5,,,,,[],200,2045
,5,,,,,[],200,2074
,5,,,,,[],200,2036
,5,,,,,[],200,2040
,5,,,,,[],200,2060
,5,,,,,[],200,2041
,5,,,,,[],200,2085
,5,,,,,[],200,2038
,5,,,,,[],200,2041
,5,,,,,[],200,2050
,5,,,,,[],200,2040
,5,,,,,[],200,2100
,5,,,,,[],200,2043
,5,,,,,[],200,2046
,5,,,,,[],200,2043
,5,,,,,[],200,2068
,5,,,,,[],200,2039
,5,,,,,[],200,2037
,5,,,,,[],200,2072
,5,,,,,[],200,2036
,5,,,,,[],200,2051
,5,,,,,[],200,2054
,5,,,,,[],200,2045
,5,,,,,[],200,2066
,5,,,,,[],200,2042
,5,,,,,[],200,2061
,5,,,,,[],200,2042
,5,,,,,[],200,2077
,5,,,,,[],200,2058
,5,,,,,[],200,2044
,5,,,,,[],200,2042
,5,,,,,[],200,2052
,5,,,,,[],200,2069
,5,,,,,[],200,2039
,5,,,,,[],200,2039
,5,,,,,[],200,2038
,5,,,,,[],200,2041
,5,,,,,[],200,2043
,5,,,,,[],200,2062
,5,,,,,[],200,2041
,5,,,,,[],200,2037
,5,,,,,[],200,2041
,5,,,,,[],200,2063
,5,,,,,[],200,2049
,5,,,,,[],200,2045
,5,,,,,[],200,2037
,5,,,,,[],200,2037
,5,,,,,[],200,2050
,5,,,,,[],200,2087
,5,,,,,[],200,2033
,5,,,,,[],200,2065
,5,,,,,[],200,2078
,5,,,,,[],200,2031
,5,,,,,[],200,2042
,5,,,,,[],200,2045
,5,,,,,[],200,2033
,5,,,,,[],200,2025
,5,,,,,[],200,2077
,5,,,,,[],200,2035
,5,,,,,[],200,2036
,5,,,,,[],200,2083
,5,,,,,[],200,2075
,5,,,,,[],200,2040
,5,,,,,[],200,2053
,5,,,,,[],200,2035
,5,,,,,[],200,2035
,5,,,,,[],200,2037
,5,,,,,[],200,2051
,5,,,,,[],200,2039
,5,,,,,[],200,2033
,5,,,,,[],200,2070
,5,,,,,[],200,2037
,5,,,,,[],200,2062
,5,,,,,[],200,2039
,5,,,,,[],200,2124
,5,,,,,[],200,2028
,5,,,,,[],200,2040
,5,,,,,[],200,2084
,5,,,,,[],200,2042
,5,,,,,[],200,2053
,5,,,,,[],200,2035
,5,,,,,[],200,2040
,5,,,,,[],200,2046
,5,,,,,[],200,2057
,5,,,,,[],200,2039
,5,,,,,[],200,2047
,5,,,,,[],200,2043
,5,,,,,[],200,2035
,5,,,,,[],200,2041
,5,,,,,[],200,2071
,5,,,,,[],200,2035
,5,,,,,[],200,2041
,5,,,,,[],200,2076
,5,,,,,[],200,2072
,5,,,,,[],200,2163
,5,,,,,[],200,2034
,5,,,,,[],200,2036
,5,,,,,[],200,2039
,5,,,,,[],200,2057
,5,,,,,[],200,2038
,5,,,,,[],200,2038
,5,,,,,[],200,2031
,5,,,,,[],200,2036
,5,,,,,[],200,2038
,5,,,,,[],200,2086
,5,,,,,[],200,2070
,5,,,,,[],200,2037
,5,,,,,[],200,2043
,5,,,,,[],200,2036
,5,,,,,[],200,2032
,5,,,,,[],200,2029
,5,,,,,[],200,2048
,5,,,,,[],200,2055
,5,,,,,[],200,2041
,5,,,,,[],200,2030
,5,,,,,[],200,2035
,5,,,,,[],200,2045
,5,,,,,[],200,2039
,5,,,,,[],200,2081
,5,,,,,[],200,2040
,5,,,,,[],200,2033
,5,,,,,[],200,2040
,5,,,,,[],200,2040
,5,,,,,[],200,2033
,5,,,,,[],200,2039
,5,,,,,[],200,2031
,5,,,,,[],200,2072
,5,,,,,[],200,2037
,5,,,,,[],200,2041
,5,,,,,[],200,2032
,5,,,,,[],200,2044
,5,,,,,[],200,2037
,5,,,,,[],200,2055
,5,,,,,[],200,2078
,5,,,,,[],200,2032
,5,,,,,[],200,2037
,5,,,,,[],200,2046
,5,,,,,[],200,2055
,5,,,,,[],200,2035
,5,,,,,[],200,2102
,5,,,,,[],200,2033
,5,,,,,[],200,2042
,5,,,,,[],200,2043
,5,,,,,[],200,2034
,5,,,,,[],200,2068
,5,,,,,[],200,2073
,5,,,,,[],200,2040
,5,,,,,[],200,2033
,5,,,,,[],200,2030
,5,,,,,[],200,2058
,5,,,,,[],200,2088
,5,,,,,[],200,2035
,5,,,,,[],200,2086
